accountCode,accountClass,accountType,isPartnerAllowed,pcName,isNotAllocated,crName,isNotAllocated,isVKAllowed,isSEANAllowed,external,dataScenarioType,partnerCode,currencyCode
Code,SalesReporting,SML,false,ProfitCenter,true,CRComponent,false,true,true,TRUE,Actual,null,null
Code,SalesReporting,SML,false,ProfitCenter,false,CRComponent,false,false,false,TRUE,Actual,null,null
Code,SalesReporting,SML,false,ProfitCenter,false,CRComponent,false,true,true,TRUE,Actual,null,null
Code,SalesReporting,SMLGrossProfit,false,ProfitCenter,true,CRComponent,false,false,false,TRUE,Actual,null,null
Code,SalesReporting,SMLGrossProfit,false,ProfitCenter,true,CRComponent,true,true,true,TRUE,Actual,null,null
Code,SalesReporting,SMLGrossProfit,false,ProfitCenter,true,CRComponent,false,true,true,TRUE,Actual,null,null
Code,SalesReporting,SMLGrossProfit,false,ProfitCenter,false,CRComponent,false,false,false,TRUE,Actual,null,null
Code,SalesReporting,SMLGrossProfit,false,ProfitCenter,false,CRComponent,true,true,true,TRUE,Actual,null,null
Code,SalesReporting,SMLGrossProfit,false,ProfitCenter,false,CRComponent,false,true,true,TRUE,Actual,null,null
Code,SalesReporting,SMLPotential,false,ProfitCenter,true,CRComponent,false,false,false,TRUE,Actual,null,null
Code,SalesReporting,SMLPotential,false,ProfitCenter,true,CRComponent,true,true,true,TRUE,Actual,null,null
Code,SalesReporting,SMLPotential,false,ProfitCenter,true,CRComponent,false,true,true,TRUE,Actual,null,null
Code,SalesReporting,SMLPotential,false,ProfitCenter,false,CRComponent,false,false,false,TRUE,Actual,null,null
Code,SalesReporting,SMLPotential,false,ProfitCenter,false,CRComponent,true,true,true,TRUE,Actual,null,null
Code,SalesReporting,SMLPotential,false,ProfitCenter,false,CRComponent,false,true,true,TRUE,Actual,null,null
Code,SalesReporting,SEAN,false,ProfitCenter,true,CRComponent,true,true,true,TRUE,Actual,null,null
Code,SalesReporting,SEAN,false,ProfitCenter,false,CRComponent,true,true,true,TRUE,Actual,null,null
Code,SalesReporting,SpecialAnalysesServiceDegree,false,ProfitCenter,true,CRComponent,false,false,false,TRUE,Actual,null,null
Code,SalesReporting,SpecialAnalysesServiceDegree,false,ProfitCenter,true,CRComponent,true,true,true,TRUE,Actual,null,null
Code,SalesReporting,SpecialAnalysesServiceDegree,false,ProfitCenter,true,CRComponent,false,true,true,TRUE,Actual,null,null
Code,SalesReporting,SpecialAnalysesServiceDegree,false,ProfitCenter,false,CRComponent,false,false,false,TRUE,Actual,null,null
Code,SalesReporting,SpecialAnalysesServiceDegree,false,ProfitCenter,false,CRComponent,true,true,true,TRUE,Actual,null,null
Code,SalesReporting,SpecialAnalysesServiceDegree,false,ProfitCenter,false,CRComponent,false,true,true,TRUE,Actual,null,null
Code,SalesReporting,Employees,false,ProfitCenter,true,CRComponent,true,true,true,TRUE,Actual,null,null
Code,SalesReporting,Employees,false,ProfitCenter,false,CRComponent,true,true,true,TRUE,Actual,null,null
Code,SalesReporting,VK,false,ProfitCenter,true,CRComponent,true,true,true,TRUE,Actual,null,null
Code,PLStatement,PrognosisNumOfAdmDecember,false,ProfitCenter,true,CRComponent,true,true,true,TRUE,Actual,null,null
Code,PLStatement,PrognosisNumOfAdmMPlus1,false,ProfitCenter,true,CRComponent,true,true,true,TRUE,Actual,null,null
Code,PLStatement,PrognosisNumOfAdmMPlus2,false,ProfitCenter,true,CRComponent,true,true,true,TRUE,Actual,null,null
Code,PLStatement,PrognosisOperatingResult,false,ProfitCenter,true,CRComponent,true,true,true,TRUE,Actual,null,null
Code,PLStatement,PrognosisSales,false,ProfitCenter,true,CRComponent,true,true,true,TRUE,Actual,null,null
